---,Name,Star,SemiMajorAu,Eccentricity,InclinationDeg,PeriodDays,RadiusEarth,MassEarth,EqTempK,DiscoveryYear
Kepler_48_b,Kepler-48 b,Kepler_48,0.05394,0,89.91,4.778,1.88,3.94,932,2012
Kepler_48_c,Kepler-48 c,Kepler_48,0.08633,0,89.51,9.67395,2.71,14.61,736,2012
Kepler_48_d,Kepler-48 d,Kepler_48,0.23302,0,89.99,42.8961,2.04,7.93,448,2014
Kepler_48_e,Kepler-48 e,Kepler_48,1.89827,0.003142,90,982,13.4,657,171.49,2014
Kepler_48_f,Kepler-48 f,Kepler_48,5.71919,0.015283,90,5219.68,13.8,298.581,95.68,2023
Kepler_480_b,Kepler-480 b,Kepler_480,0.06024,0,88.43,4.91958,2.78,8.15,1312,2016
Kepler_481_b,Kepler-481 b,Kepler_481,0.08926,0,87.02,10.0608,2.5,6.8,899,2016
Kepler_482_b,Kepler-482 b,Kepler_482,0.25787,0,89.37,56.3542,2.36,6.17,352,2016
Kepler_483_b,Kepler-483 b,Kepler_483,0.19471,0,88.1,30.2291,3.21,10.4,755,2016
Kepler_484_b,Kepler-484 b,Kepler_484,0.09036,0,89.82,10.0456,2.28,5.82,766,2016
Kepler_485_b,Kepler-485 b,Kepler_485,0.04401,0,89.27,3.24326,14.41,-1,1243,2016
Kepler_487_d,Kepler-487 d,Kepler_487,0.03445,0,89.89,2.41839,2.77514,8.12,1226,2021
Kepler_487_b,Kepler-487 b,Kepler_487,0.11819,0,89.02,15.3588,11.42,-1,662,2016
Kepler_487_c,Kepler-487 c,Kepler_487,0.21864,0,89.96,38.652,2.68,7.65,487,2016
Kepler_489_b,Kepler-489 b,Kepler_489,0.12109,0,89.87,17.2763,7.72,46.1,538,2016
Kepler_49_d,Kepler-49 d,Kepler_49,0.031,0,89.14,2.57655,1.6,235.982,717,2014
Kepler_49_b,Kepler-49 b,Kepler_49,0.05929,0,89.9,7.2,2.579,9.77,509,2012
Kepler_49_c,Kepler-49 c,Kepler_49,0.07821,0.008,88.68,10.91,2.444,8.38,443,2012
Kepler_49_e,Kepler-49 e,Kepler_49,0.116,0,89.99,18.5961,1.56,1.03815,371,2014
Kepler_490_b,Kepler-490 b,Kepler_490,0.0453,0,89.53,3.2687,11.65,-1,1597,2016
Kepler_491_b,Kepler-491 b,Kepler_491,0.05191,0,89.66,4.22538,8.92,59,1111,2016
Kepler_493_b,Kepler-493 b,Kepler_493,0.0439,0,87.33,3.00388,15.13,-1,1438,2016
Kepler_495_b,Kepler-495 b,Kepler_495,0.0427,0,89.75,3.41304,5.23,23.8,1200,2016
Kepler_495_c,Kepler-495 c,Kepler_495,0.0614,0,89.84,5.89661,1.21936,1.98,1000,2021
Kepler_496_b,Kepler-496 b,Kepler_496,0.0747,0,88.99,8.30865,2.32,5.99,747,2016
Kepler_497_b,Kepler-497 b,Kepler_497,0.0457,0,89.69,3.5732,6.04,30.4,1210,2016
Kepler_498_b,Kepler-498 b,Kepler_498,0.0897,0,87.37,9.61375,3.03,9.43,931,2016
Kepler_499_b,Kepler-499 b,Kepler_499,0.0598,0,88.58,5.63253,2.17,5.35,844,2016
Kepler_5_b,Kepler-5 b,Kepler_5,0.0538,0,89.14,3.54847,15.984,670.939,1750,2009
Kepler_50_b,Kepler-50 b,Kepler_50,0.077,0,89.88,7.81254,1.71,8.9,1196,2012
Kepler_50_c,Kepler-50 c,Kepler_50,0.087,0,87.6,9.37647,2.17,8.2,1125,2012
Kepler_500_b,Kepler-500 b,Kepler_500,0.08361,0,89.99,8.50832,2.58,7.18,909,2016
Kepler_501_c,Kepler-501 c,Kepler_501,0.0467,0,89.96,3.62276,1.6812,3.47,1304,2021
Kepler_501_b,Kepler-501 b,Kepler_501,0.0627,0,89.88,5.64068,4.3,17.1,1125,2016
Kepler_502_b,Kepler-502 b,Kepler_502,0.0535,0,81.72,4.28686,4.77,20.4,1217,2016
Kepler_504_b,Kepler-504 b,Kepler_504,0.0646,0,89.92,9.54928,1.59,3.15,374,2016
Kepler_505_b,Kepler-505 b,Kepler_505,0.1445,0,89.61,27.522,2.6,7.27,314,2016
Kepler_506_b,Kepler-506 b,Kepler_506,0.07437,0,89.82,6.88341,2.73,7.9,1080,2016
Kepler_507_b,Kepler-507 b,Kepler_507,0.04781,0,85.83,3.5681,1.3,5.69692,1407,2016
Kepler_508_b,Kepler-508 b,Kepler_508,0.17274,0,87.81,25.3089,1.64,3.33,710,2016
Kepler_509_b,Kepler-509 b,Kepler_509,0.23702,0,89.96,41.746,2.49,6.76,584,2016
Kepler_51_b,Kepler-51 b,Kepler_51,0.2514,0.04,89.78,45.154,7.1,2.1,543,2012
Kepler_51_c,Kepler-51 c,Kepler_51,0.384,0.014,89.44,85.312,9,4,439,2012
Kepler_51_d,Kepler-51 d,Kepler_51,0.509,0.008,89.91,130.194,9.7,7.6,381,2014
Kepler_51_e,Kepler-51 e,Kepler_51,-1,0.02,90,264.284,2.18,5.4,-1,2024
Kepler_510_b,Kepler-510 b,Kepler_510,0.1352,0,87.7,19.5566,2.47,6.66,797,2016
Kepler_511_c,Kepler-511 c,Kepler_511,0.17177,0,89.97,26.6295,4.20964,16.5,742,2021
Kepler_511_b,Kepler-511 b,Kepler_511,0.85672,0,89.81,296.638,6.35,33.1,332,2016
Kepler_512_b,Kepler-512 b,Kepler_512,0.21395,0,89.98,34.4359,2.69,7.7,652,2016
Kepler_513_b,Kepler-513 b,Kepler_513,0.1779,0,88.35,28.8624,2.2,5.48,623,2016
Kepler_514_b,Kepler-514 b,Kepler_514,0.06559,0,81.85,5.6518,1.72,3.61,1248,2016
Kepler_515_b,Kepler-515 b,Kepler_515,0.1333,0,88.51,19.9637,1.46,2.73,564,2016
Kepler_516_b,Kepler-516 b,Kepler_516,0.1992,0,87.08,24.8546,5.74,27.9,1095,2016
Kepler_517_b,Kepler-517 b,Kepler_517,0.28682,0,89.99,60.9283,2.67,7.61,467,2016
Kepler_518_b,Kepler-518 b,Kepler_518,0.07996,0,89.99,8.51204,2.11,5.1,839,2016
Kepler_519_b,Kepler-519 b,Kepler_519,0.15932,0,89.63,24.3079,2.1,5.06,532,2016
Kepler_52_b,Kepler-52 b,Kepler_52,0.0637,0,89.92,7.87736,2.1,135,553,2012
Kepler_52_c,Kepler-52 c,Kepler_52,0.10379,0.012,90,16.385,1.84,45.4,433,2012
Kepler_52_d,Kepler-52 d,Kepler_52,0.182,0,89.98,36.4452,1.95,88.8775,332,2014
Kepler_520_c,Kepler-520 c,Kepler_520,0.06035,0,83.02,5.21104,1.07,1.24,1107,2016
Kepler_520_b,Kepler-520 b,Kepler_520,0.14628,0,87.05,19.6742,1.66,3.39,711,2016
Kepler_521_b,Kepler-521 b,Kepler_521,0.17116,0,89.96,22.2081,3.18,10.2,803,2016
Kepler_522_b,Kepler-522 b,Kepler_522,0.25029,0,85.76,38.5842,6.91,38.2,761,2016
Kepler_523_b,Kepler-523 b,Kepler_523,0.06159,0,89.66,5.83598,1.96,4.5,884,2016
Kepler_524_c,Kepler-524 c,Kepler_524,0.03046,0,89.84,1.88898,0.96,0.84,1574,2016
Kepler_524_b,Kepler-524 b,Kepler_524,0.07955,0,89.36,7.9742,1.91,4.31,974,2016
Kepler_525_b,Kepler-525 b,Kepler_525,0.14386,0,85.7,18.684,2.63,7.41,832,2016
Kepler_526_b,Kepler-526 b,Kepler_526,0.06518,0,85.39,5.4585,1.99,4.62,1099,2016
Kepler_527_b,Kepler-527 b,Kepler_527,0.11646,0,85.87,13.2854,2.84,8.45,1157,2016
Kepler_528_b,Kepler-528 b,Kepler_528,0.14219,0,89.97,19.783,2.08,4.98,708,2016
Kepler_529_b,Kepler-529 b,Kepler_529,0.0309,0,80.89,1.98036,1.86,4.12,1662,2016
Kepler_529_c,Kepler-529 c,Kepler_529,0.1075,0,83.97,12.8345,2,4.66,891,2016
Kepler_529_d,Kepler-529 d,Kepler_529,0.2134,0,85.14,35.8662,2.79503,8.22,633,2021
Kepler_53_d,Kepler-53 d,Kepler_53,0.091,0,80.97,9.75196,2.12,166.503,870,2014
Kepler_53_b,Kepler-53 b,Kepler_53,0.1361,0,89.86,18.649,2.89,111,701,2012
Kepler_53_c,Kepler-53 c,Kepler_53,0.22091,0,87.91,38.5583,3.17,36,550,2012
Kepler_530_b,Kepler-530 b,Kepler_530,0.21491,0,89.97,39.3094,3.01,9.32,488,2016
Kepler_531_b,Kepler-531 b,Kepler_531,0.17446,0,89.06,29.8849,2.78,8.15,453,2016
Kepler_532_b,Kepler-532 b,Kepler_532,0.10151,0,88.26,12.9249,2.57,7.13,620,2016
Kepler_533_b,Kepler-533 b,Kepler_533,0.16704,0,88.68,28.5112,3.38,11.4,423,2016
