---,Name,DistancePc,RaDeg,DecDeg,SpectralType,TeffK,RadiusSun,MassSun,Log10LumSun,PlanetCount
KIC_10525077,KIC 10525077,1461.15,287.378,47.7712,,6091,1.01,1.01,0.12899,1
Kepler_1551,Kepler-1551,1463.72,295.786,39.9079,,6136,1.22,1.14,0.24402,1
Kepler_1836,Kepler-1836,1472.62,292.315,40.8388,,6123,0.987,1.053,0.01616,1
Kepler_1068,Kepler-1068,1473.61,294.648,46.3923,,5806,1.01,1.01,-0.02521,1
Kepler_1511,Kepler-1511,1475.6,288.421,43.1798,,6064,1.29,1.17,0.83813,1
HATS_66,HATS-66,1477.98,101.395,-33.8817,,6626,1.841,1.411,0.76716,1
Kepler_1472,Kepler-1472,1479.14,294.853,49.0574,,6159,1.25,1.16,0.42003,1
Kepler_789,Kepler-789,1480.16,295.975,38.9466,,5870,1.02,1.01,0.49628,1
Kepler_812,Kepler-812,1482.74,288.855,48.2085,,6761,1.71,1.45,0.75193,1
Kepler_1734,Kepler-1734,1482.83,294.163,41.4517,,6061,0.97,1.05,0.14406,1
Kepler_1158,Kepler-1158,1484.25,292.234,41.5752,,6203,1.95,1.41,0.84033,1
Kepler_817,Kepler-817,1484.46,296.082,39.1616,,5861,1.03,1.03,0.08609,1
Kepler_1041,Kepler-1041,1485.82,293.882,49.6831,,5957,1.08,1.06,0.48914,1
Kepler_1280,Kepler-1280,1486.7,293.574,45.3845,,6227,1.32,1.2,0.6788,1
Kepler_686,Kepler-686,1490.94,285.214,39.0275,,5649,0.92,0.94,0.10792,1
Kepler_700,Kepler-700,1491.76,287.154,41.5658,,5692,0.96,0.98,0.22961,1
Kepler_680,Kepler-680,1492.48,291.622,50.6182,,5890,1.11,1.08,0.19729,1
Kepler_1292,Kepler-1292,1493.43,284.906,43.9491,,5556,0.93,0.95,-0.09051,1
Kepler_1402,Kepler-1402,1493.64,291.848,48.9682,,5416,0.87,0.9,0.44774,1
Kepler_372,Kepler-372,1493.95,291.256,49.2589,,6509,1.137,1.202,0.32073,3
Kepler_1279,Kepler-1279,1494.22,288.096,40.3659,,6221,1.33,1.21,0.69281,1
Kepler_1878,Kepler-1878,1494.3,300.732,44.107,,5918,0.865,0.956,0.18689,1
Kepler_1941,Kepler-1941,1494.39,296.627,49.3539,,6404,1.142,1.175,0.43611,1
Kepler_1750,Kepler-1750,1497.33,292.351,48.5111,,5644,0.969,0.981,0.06117,1
Kepler_1419,Kepler-1419,1498.58,292.255,37.9714,,5796,1.01,1.01,0.04229,1
Kepler_863,Kepler-863,1499.66,297.664,43.249,,5678,0.95,0.96,0.21514,1
Kepler_758,Kepler-758,1502.32,293.085,41.1354,,6228,1.42,1.16,0.56281,4
Kepler_1997,Kepler-1997,1502.34,297.481,46.5891,,6215,1.052,1.111,0.13162,1
Kepler_1696,Kepler-1696,1506.36,295.576,42.0234,,5712,1.19811,1.02,0.13884,1
Kepler_855,Kepler-855,1506.58,295.095,43.5376,,5835,1.03,1.03,0.33305,1
Kepler_1613,Kepler-1613,1508.33,289.875,43.4209,,6005,1.12,1.08,0.63777,1
Kepler_666,Kepler-666,1508.71,298.457,48.7916,,5887,1.05,1.03,0.18164,1
Kepler_799,Kepler-799,1509.08,287.175,44.8785,,5681,0.93,0.95,-0.09,2
OGLE_2006_BLG_109L,OGLE-2006-BLG-109L,1510,268.144,-30.0878,,5772,1,0.51,0,2
Kepler_1589,Kepler-1589,1513.14,294.442,40.5716,,6166,1.25,1.18,0.32934,1
Kepler_1502,Kepler-1502,1514.02,296.108,39.3199,,6666,1.72,1.44,0.74202,1
Kepler_1915,Kepler-1915,1514.66,301.279,44.2505,,6020,1.057,1.03,0.06133,1
OGLE_TR_211,OGLE-TR-211,1515.26,160.06,-62.4555,,6325,1.64,1.33,0.26657,1
Kepler_1360,Kepler-1360,1516.27,300.344,45.6232,,6778,1.83,1.51,0.92337,1
Kepler_897,Kepler-897,1519.25,290.587,51.6958,,5839,1.04,1.03,0.28762,1
Kepler_490,Kepler-490,1523,295.026,46.956,,6045,1.12,1.08,0.36497,1
Kepler_1638,Kepler-1638,1525.52,295.482,48.5245,,5710,0.95,0.97,-0.114,1
Kepler_1960,Kepler-1960,1527.56,294.697,46.7202,,6371,1.072,1.117,0.27069,1
Kepler_1405,Kepler-1405,1530.3,295.685,39.2561,,5925,1.07,1.05,0.02238,1
Kepler_1428,Kepler-1428,1530.32,297.642,49.595,,6184,1.36,1.28,0.94388,1
Kepler_603,Kepler-603,1539.63,294.281,42.2909,,5808,1.01,1.01,0.39156,3
BD_20_2457,BD+20 2457,1539.71,154.187,19.8913,K2 II,4137,49,2.8,3.17,2
Kepler_1900,Kepler-1900,1540.43,291.886,44.479,,6173,1.041,1.104,0.21994,1
Kepler_1764,Kepler-1764,1542.48,293.88,41.3938,,6461,1.131,1.162,0.41465,1
Kepler_1182,Kepler-1182,1545.39,296.308,43.8214,,5924,1.05,1.04,0.25605,1
Kepler_182,Kepler-182,1549.09,289.83,50.5862,,6250,1.146,1.114,0.34366,2
OGLE_2018_BLG_1212L,OGLE-2018-BLG-1212L,1550,271.078,-28.1941,,5772,1,0.16,0,1
Kepler_1296,Kepler-1296,1551.54,292.125,41.4078,,5359,0.83,0.87,0.48615,1
Kepler_1475,Kepler-1475,1568.38,295.948,44.7531,,6214,1.28,1.18,0.25381,1
Kepler_937,Kepler-937,1571.46,294.169,46.7146,,6095,1.22,1.15,0.28097,2
Kepler_1165,Kepler-1165,1575.2,286.971,44.7083,,6080,1.18,1.13,0.55152,2
Kepler_1305,Kepler-1305,1575.23,297.339,46.3472,,5701,0.96,0.97,0.08368,1
Kepler_1758,Kepler-1758,1588.41,297.797,39.9213,,5557,1.616,1.035,0.48544,1
Kepler_1851,Kepler-1851,1589.81,285.674,45.6398,,5982,0.879,0.967,0.06007,1
Kepler_502,Kepler-502,1591.04,291.08,43.8602,,6125,1.22,1.15,0.34908,1
Kepler_868,Kepler-868,1593.13,282.364,46.6752,,5614,0.89,0.93,0.06838,1
Kepler_1290,Kepler-1290,1593.7,290.685,43.8596,,5660,0.93,0.95,0.06899,1
KIC_9663113,KIC 9663113,1594.74,297.045,46.3287,,6117.21,2.21562,1.15,0.7919,2
Kepler_1180,Kepler-1180,1596.8,295.887,43.156,,6077,1.14,1.09,0.41746,1
Kepler_1255,Kepler-1255,1617.07,295.239,42.7265,,6018,1.12,1.08,0.30726,1
Kepler_852,Kepler-852,1619.03,297.392,48.5607,,6100,1.16,1.19,0.827,1
Kepler_1914,Kepler-1914,1621.56,291.431,38.6544,,5982,0.96,1.047,0.07728,1
Kepler_1431,Kepler-1431,1623.24,292.658,49.8652,,5806,1.03,1.03,0.24349,1
OGLE2_TR_L9,OGLE2-TR-L9,1627.63,166.98,-61.1462,,6933,1.53,1.52,0.51197,1
Kepler_1621,Kepler-1621,1631.66,297.589,43.8412,,6158,1.24,1.15,0.47822,1
Kepler_1238,Kepler-1238,1632.13,297.906,40.1628,,6386,1.48,1.3,0.58441,1
Kepler_1705,Kepler-1705,1633.49,301.579,44.3122,,6312,1.259,1.139,0.35411,2
